parentScreen,tab,tabPage,content,resolvedFile,generatedTarget,webSquareSrc,loadingMode,status,resolutionMethod,xjsDependencies,warning
"Form/TabExternalNested.xfdl","outerTab","outerTab.first","../TabContent/FirstTab.xfdl","TabContent/FirstTab.xfdl","TabContent/FirstTab.xml","../TabContent/FirstTab.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabExternalPreload.xfdl","tabPreload","tabPreload.pageSearch","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","EAGER","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabExternalPreload.xfdl","tabPreload","tabPreload.pageDetail","../TabContent/Detail.xfdl","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","EAGER","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabExternalXjs.xfdl","tabXjs","tabXjs.pageXjs","../TabContent/SearchXjs.xfdl","TabContent/SearchXjs.xfdl","TabContent/SearchXjs.xml","../TabContent/SearchXjs.xml","LAZY","CONVERTED","RELATIVE","[Script/TabCommon.xjs]","현재 XFDL 기준 상대 경로"
"Form/TabLazyLifecycle.xfdl","tabMain","tabMain.pageChild","../TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","LAZY","CONVERTED","RELATIVE","[Script/TabChildCommon.xjs]","현재 XFDL 기준 상대 경로"
"Form/TabLifecycleInactiveReplace.xfdl","tabMain","tabMain.A","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabLifecycleInactiveReplace.xfdl","tabMain","tabMain.B","../TabContent/Detail.xfdl","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabLifecycleOnloadFailure.xfdl","tabMain","tabMain.child","../TabContent/OnloadFailureChild.xfdl","TabContent/OnloadFailureChild.xfdl","TabContent/OnloadFailureChild.xml","../TabContent/OnloadFailureChild.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabLifecycleRemoveSelected.xfdl","tabMain","tabMain.A","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","EAGER","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabLifecycleRemoveSelected.xfdl","tabMain","tabMain.B","../TabContent/Detail.xfdl","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","EAGER","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
